No     time     A1         L1	      A2         L2         A3         L3         A4         L4         A5         L5          A6         L6         A7         L7         A8         L8         A9         L9
0      0,0      0,000027   0,000058   0,980385   -0,018219   0,965527   -0,022166   0,972938   0,959013   -0,021649   -0,145625   -0,009011   0,951563   0,944690   0,055767   -0,024890   -0,026026   0,948518   -0,016022   
       1,1      0,000031   0,000059   0,980377   -0,017970   0,965523   -0,014589   0,972935   0,959014   -0,017686   -0,143291   0,002124   0,951562   0,944693   0,055756   -0,009879   -0,008004   0,948520   0,005440   
       2,2      0,000025   0,000064   0,980392   -0,017984   0,965528   -0,014570   0,972957   0,959032   -0,017679   -0,143301   0,002157   0,951571   0,944701   0,055770   -0,009853   -0,007963   0,948538   0,005488   
       3,3      0,000025   0,000048   0,000110   0,717022   0,000132   0,716264   0,000127   0,000145   0,715456   -0,148892   0,731155   0,000168   0,000185   0,000017   0,716886   0,716369   0,000200   0,735177   
       12,3      0,000024   0,000065   0,980390   -0,018023   0,965525   -0,015519   0,972944   0,959026   -0,018186   -0,143570   0,000749   0,951548   0,944692   0,055779   -0,011728   -0,010262   0,948535   0,002747   
       13,4      0,000024   0,000061   0,980381   -0,017972   0,965507   -0,014631   0,972938   0,958994   -0,017698   -0,143285   0,002061   0,951551   0,944674   0,055772   -0,009978   -0,008133   0,948514   0,005289   
       14,6      0,000027   0,000055   0,980385   -0,018216   0,965511   -0,021795   0,972924   0,959013   -0,021452   -0,145085   -0,008507   0,951554   0,944681   0,055778   -0,024209   -0,025853   0,948514   -0,016115   
       15,7      0,000024   0,000066   0,980389   -0,017989   0,965505   -0,014762   0,972944   0,958999   -0,017786   -0,143325   0,001884   0,951552   0,944679   0,055760   -0,010195   -0,008393   0,948514   0,004989   
       16,8      0,000037   0,000063   0,980378   -0,018011   0,965511   -0,014638   0,972931   0,959001   -0,017718   -0,143327   0,002061   0,951551   0,944689   0,055779   -0,009971   -0,008121   0,948527   0,005303   
       17,9      0,000027   0,000060   0,980387   -0,017962   0,965524   -0,014553   0,972942   0,959022   -0,017655   -0,143306   0,002171   0,951557   0,944691   0,055772   -0,009848   -0,007954   0,948543   0,005502   
       19,0      0,000030   0,000061   0,980387   -0,018212   0,965515   -0,021796   0,972945   0,959020   -0,021451   -0,145051   -0,008494   0,951561   0,944694   0,055772   -0,024190   -0,025828   0,948530   -0,016074   
       20,1      0,000024   0,000057   0,980368   -0,017997   0,965502   -0,014695   0,972931   0,959005   -0,017773   -0,143344   0,002018   0,951535   0,944686   0,055771   -0,010011   -0,008151   0,948520   0,005279   
       21,2      0,000029   0,000059   0,980385   -0,017971   0,965503   -0,014596   0,972945   0,959019   -0,017678   -0,143299   0,002101   0,951544   0,944697   0,055753   -0,009920   -0,008070   0,948531   0,005378   
       22,3      0,000025   0,000060   0,980372   -0,017977   0,965518   -0,014566   0,972939   0,959007   -0,017667   -0,143307   0,002174   0,951543   0,944685   0,055778   -0,009820   -0,007933   0,948539   0,005531   
       23,3      0,000024   0,000062   0,980396   -0,017990   0,965514   -0,014589   0,972929   0,958994   -0,017682   -0,143314   0,002136   0,951541   0,944687   0,055780   -0,009876   -0,008005   0,948523   0,005455   
       24,4      0,000028   0,000052   0,980389   -0,017966   0,965521   -0,014579   0,972954   0,959033   -0,017671   -0,143315   0,002136   0,951556   0,944706   0,055774   -0,009876   -0,008008   0,948528   0,005436   
       25,5      0,000028   0,000064   0,980390   -0,017989   0,965517   -0,014550   0,972942   0,959007   -0,017644   -0,143291   0,002183   0,951560   0,944682   0,055767   -0,009816   -0,007924   0,948530   0,005541   
       26,6      0,000025   0,000065   0,039910   -0,753269   0,041758   -0,752970   0,040852   0,042709   -0,754629   -0,140318   -0,738455   0,043716   0,044698   0,002608   -0,752861   -0,753347   0,046203   -0,750533   
       29,0      0,000025   0,000054   0,980381   -0,018227   0,965510   -0,021552   0,972927   0,959017   -0,021322   -0,144690   -0,008136   0,951531   0,944695   0,055787   -0,023704   -0,025216   0,948528   -0,015304   
       30,1      0,000025   0,000070   0,980380   -0,017977   0,965505   -0,014666   0,972934   0,958997   -0,017731   -0,143311   0,002035   0,951545   0,944691   0,055762   -0,010002   -0,008153   0,948520   0,005272   
1      20,0      0,000036   0,000059   1,960890   -0,017977   1,931200   -0,013998   1,945961   1,918167   -0,017192   -0,142773   0,003649   1,903289   1,889529   0,111614   -0,007760   -0,004706   1,897345   0,009899   
       21,1      0,000037   0,000062   1,960887   -0,017845   1,931192   -0,010343   1,945971   1,918143   -0,015275   -0,141812   0,009030   1,903283   1,889533   0,111596   -0,000519   0,004309   1,897330   0,020792   
       22,2      0,000041   0,000054   1,960883   -0,017849   1,931207   -0,010342   1,945962   1,918152   -0,015260   -0,141855   0,009030   1,903276   1,889519   0,111575   -0,000533   0,004285   1,897290   0,020756   
       23,4      0,000023   0,000087   0,006067   -1,726584   0,007127   -1,726016   0,006592   0,007676   -1,727434   -0,134760   -1,711158   0,008301   0,008901   0,000532   -1,726218   -1,726296   0,009631   -1,734314   
       26,2      0,000037   0,000060   1,960889   -0,018282   1,931217   -0,024565   1,945990   1,918169   -0,022699   -0,145349   -0,011928   1,903276   1,889536   0,111618   -0,028741   -0,030828   1,897349   -0,021647   
